Compagnia,Tratta,Voli,Min,Max,Medio,Cancellazioni,Mesi
9E,DTW -> ALB,435,-15.0,132.0,0.66,0.0046,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,DTW -> ATW,19,-14.0,106.0,1.0,0.0,"1,10,5"
9E,DTW -> BTV,248,-14.0,950.0,6.62,0.0121,"10,11,12,5,6,7,8,9"
9E,DTW -> BUF,211,-15.0,156.0,2.19,0.0142,"1,10,11,12,3,4,5,6,7,8,9"
9E,DTW -> CID,1,-4.0,-4.0,-4.0,0.0,10
9E,DTW -> CLE,529,-14.0,268.0,5.33,0.0113,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,DTW -> CMH,47,-18.0,87.0,3.43,0.0,"1,12,4,5,9"
9E,DTW -> CVG,1239,-17.0,702.0,5.52,0.004,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,DTW -> DCA,52,-13.0,650.0,11.5,0.0,"1,2,3"
9E,DTW -> GRB,14,-14.0,5.0,-4.93,0.0,"1,10"
9E,DTW -> GSO,478,-17.0,154.0,1.26,0.0126,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,DTW -> IAD,157,-14.0,170.0,4.34,0.0,"1,10,11,12,2,3,4,9"
9E,DTW -> IND,526,-14.0,230.0,3.49,0.0019,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,DTW -> LEX,8,-9.0,130.0,13.75,0.0,"1,12"
9E,DTW -> MCI,50,-10.0,166.0,2.76,0.0,"1,10,11,2,3,4,5"
9E,DTW -> MEM,276,-15.0,227.0,1.01,0.0109,"1,10,11,12,2,4,6,7,8,9"
9E,DTW -> MKE,10,-10.0,-3.0,-5.8,0.0,"1,10,11,4,5,9"
9E,DTW -> MSY,2,-5.0,23.0,9.0,0.0,1
9E,DTW -> OMA,71,-12.0,46.0,-3.23,0.0,"1,10,11,2,3"
9E,DTW -> ORD,8,-6.0,90.0,8.0,0.0,"1,11,6,7"
9E,DTW -> ORF,542,-19.0,669.0,6.69,0.0018,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,DTW -> PVD,334,-18.0,681.0,9.93,0.018,"1,10,11,12,2,3,4,5,6"
9E,DTW -> RDU,52,-11.0,164.0,6.17,0.0,"1,2,3,4"
9E,DTW -> RIC,294,-15.0,718.0,7.48,0.0238,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,DTW -> ROC,858,-24.0,292.0,2.52,0.007,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,DTW -> SBN,1,-5.0,-5.0,-5.0,0.0,12
9E,DTW -> TVC,141,-13.0,144.0,3.44,0.0,"1,11,4,5,6,7,8,9"
9E,ECP -> ATL,24,-11.0,275.0,36.92,0.0,1
9E,EWR -> CVG,809,-28.0,1102.0,25.37,0.0383,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,EWR -> RDU,824,-19.0,1108.0,19.31,0.0388,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,EYW -> ATL,158,-13.0,553.0,22.01,0.019,"1,12,2,3,4,5"
9E,EYW -> BNA,1,66.0,66.0,66.0,0.0,5
9E,FAY -> ATL,349,-18.0,961.0,15.17,0.0,"1,10,11,12,2,3,4,5,6,9"
9E,FLL -> CVG,7,-11.0,52.0,14.29,0.0,1
9E,FSD -> ATL,3,-7.0,81.0,23.67,0.0,1
9E,FSD -> MSP,351,-19.0,421.0,7.18,0.0085,"1,10,11,12,2,3,4,5,6,7,8,9"
