Compagnia,Tratta,Voli,Min,Max,Medio,Cancellazioni,Mesi
9E,LGA -> ALB,1308,-22.0,382.0,6.81,0.0336,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,LGA -> BDL,470,-17.0,233.0,12.73,0.0511,"1,10,2,3,4,5,6,7,8,9"
9E,LGA -> BGM,16,-21.0,95.0,8.14,0.125,1
9E,LGA -> BGR,1808,-18.0,1010.0,8.7,0.0398,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,LGA -> BHM,1876,-24.0,377.0,6.06,0.0362,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,LGA -> BNA,974,-14.0,194.0,5.5,0.0575,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,LGA -> BUF,1776,-23.0,506.0,5.91,0.0394,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,LGA -> CAE,1086,-18.0,278.0,7.4,0.0331,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,LGA -> CHA,126,-15.0,98.0,4.4,0.0,"10,11,12"
9E,LGA -> CLE,2044,-18.0,329.0,5.5,0.0382,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,LGA -> CMH,48,-12.0,62.0,-2.71,0.0,"10,11,12,3,4"
9E,LGA -> CVG,3116,-19.0,388.0,9.42,0.0263,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,LGA -> GSP,1940,-18.0,904.0,9.6,0.0289,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,LGA -> ILM,1530,-19.0,345.0,6.69,0.0327,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,LGA -> LIT,400,-19.0,295.0,16.05,0.02,"10,11,12,2,3,6,7,8,9"
9E,LGA -> MEM,1196,-19.0,758.0,8.78,0.0401,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,LGA -> OMA,470,-17.0,295.0,11.99,0.0638,"1,10,2,3,4,5,6,7,8,9"
9E,LGA -> ORF,1378,-17.0,808.0,6.67,0.0348,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,LGA -> ORH,598,-19.0,987.0,8.45,0.0435,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,LGA -> PNS,462,-15.0,182.0,6.81,0.013,"1,11,12,2,3,4,5,6,7,8,9"
9E,LGA -> PVD,818,-20.0,325.0,6.33,0.0244,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,LGA -> PWM,992,-23.0,422.0,4.41,0.0343,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,LGA -> RDU,4120,-20.0,337.0,6.6,0.0306,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,LGA -> ROA,652,-19.0,624.0,10.45,0.0399,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,LGA -> ROC,1876,-22.0,660.0,8.14,0.0416,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,LGA -> SAV,1792,-18.0,516.0,6.31,0.0379,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,LGA -> SDF,46,-16.0,54.0,-1.52,0.0,"12,5,6"
9E,LGA -> SYR,1102,-18.0,248.0,2.33,0.0091,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,LGA -> TYS,1882,-22.0,281.0,2.81,0.034,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,MCI -> BHM,2,-10.0,-10.0,-10.0,0.0,10
9E,MCI -> DTW,98,-12.0,176.0,0.1,0.0,"1,2,3,4,5"
9E,MCI -> JFK,896,-20.0,775.0,11.16,0.0313,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,MCI -> LGA,1466,-27.0,1067.0,14.44,0.0518,"1,2,3,4,5,6,7,8,9"
9E,MCI -> MSP,20,-13.0,34.0,-0.9,0.0,"10,11"
9E,MDT -> DTW,120,-14.0,199.0,3.75,0.0,"1,2,3,4,5,6"
9E,MDT -> MSP,4,-14.0,6.0,-4.0,0.0,11
9E,MEM -> DTW,558,-14.0,225.0,2.64,0.0108,"1,10,11,12,2,4,6,7,8,9"
9E,MEM -> MSP,360,-11.0,223.0,7.63,0.0167,"1,11,12,3,4,6,7,8"
9E,MKE -> DTW,20,-15.0,124.0,5.4,0.0,"1,10,11,4,5,9"
9E,MKE -> JFK,226,-17.0,1102.0,14.68,0.0177,"2,3,4,5,6"
9E,MKE -> LGA,1350,-23.0,953.0,15.89,0.0281,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,MLU -> ATL,1738,-23.0,795.0,10.67,0.0081,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,MOB -> ATL,1540,-19.0,1132.0,4.39,0.0091,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,MQT -> DTW,242,-23.0,116.0,-1.82,0.0248,"1,2,3,5,6"
9E,MSN -> ATL,64,-10.0,124.0,5.68,0.0313,"1,11,12"
9E,MSN -> DTW,260,-16.0,264.0,6.09,0.0154,"1,10,12,6,7,8,9"
9E,MSP -> BIS,20,-10.0,16.0,-0.4,0.0,"7,8,9"
9E,MSP -> CLT,38,-8.0,10.0,-1.95,0.0,"10,11,12,6,7"
9E,MSP -> CMH,358,-10.0,149.0,0.61,0.0,"1,11,12,3,4,5,6,8,9"
9E,MSP -> DSM,2036,-20.0,408.0,5.72,0.0098,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,MSP -> GFK,172,-22.0,563.0,15.16,0.0,"1,12,2,3,9"
9E,MSP -> GRR,208,-13.0,250.0,4.52,0.0,"10,11,12,4,5,6,7,8"
9E,MSP -> IAD,112,-10.0,70.0,-1.46,0.0,"1,10,11,9"
9E,MSP -> JFK,476,-13.0,244.0,4.97,0.0168,"1,12,2,3,4,5,6"
9E,MSP -> OMA,380,-11.0,240.0,2.68,0.0158,"10,11,12,6,7,8,9"
9E,MSP -> ORF,366,-10.0,174.0,5.99,0.0055,"10,11,12,6,7,8,9"
9E,MSP -> PIT,472,-14.0,152.0,3.71,0.0,"1,10,11,12,2,3,4,5,6,9"
9E,MSP -> RAP,396,-15.0,582.0,8.28,0.0,"11,12,6,7,8"
9E,MSP -> RDU,22,-13.0,124.0,19.0,0.0,"1,2,3,4"
