Compagnia,Tratta,Voli,Min,Max,Medio,Cancellazioni,Mesi
9E,LGA -> GSP,488,-15.0,335.0,9.69,0.0287,"1,2,3,4,5,6,7"
9E,LGA -> ILM,267,-19.0,239.0,9.22,0.0337,"1,2,3,4,5,6,7"
9E,LGA -> LIT,55,-15.0,126.0,11.91,0.0182,"2,3,6,7"
9E,LGA -> MEM,339,-16.0,245.0,6.2,0.0324,"1,2,3,4,5,6,7"
9E,LGA -> OMA,151,-17.0,277.0,7.55,0.0331,"1,2,3,4,5,6,7"
9E,LGA -> ORF,437,-17.0,808.0,5.81,0.0297,"1,2,3,4,5,6,7"
9E,LGA -> ORH,153,-19.0,168.0,-0.1,0.0588,"1,2,3,4,5,6,7"
9E,LGA -> PNS,165,-15.0,182.0,8.82,0.0121,"1,2,3,4,5,6,7"
9E,LGA -> PVD,260,-14.0,264.0,7.2,0.0385,"1,2,3,4,5,6,7"
9E,LGA -> PWM,302,-23.0,422.0,4.53,0.0298,"1,2,3,4,5,6,7"
9E,LGA -> RDU,1020,-18.0,313.0,6.91,0.0235,"1,2,3,4,5,6,7"
9E,LGA -> ROA,157,-16.0,202.0,7.81,0.0446,"1,2,3,4,5,6,7"
9E,LGA -> ROC,474,-14.0,649.0,8.57,0.0359,"1,2,3,4,5,6,7"
9E,LGA -> SAV,472,-17.0,516.0,6.1,0.0318,"1,2,3,4,5,6,7"
9E,LGA -> SDF,5,-16.0,46.0,1.2,0.0,"5,6"
9E,LGA -> SYR,326,-18.0,248.0,3.63,0.0123,"1,2,3,4,5,6,7"
9E,LGA -> TYS,468,-17.0,215.0,5.11,0.0278,"1,2,3,4,5,6,7"
9E,MCI -> DTW,49,-12.0,176.0,0.1,0.0,"1,2,3,4,5"
9E,MCI -> JFK,179,-18.0,274.0,12.94,0.0279,"1,2,3,4,5,6,7"
9E,MCI -> LGA,521,-27.0,1067.0,11.65,0.0307,"1,2,3,4,5,6,7"
9E,MDT -> DTW,60,-14.0,199.0,3.75,0.0,"1,2,3,4,5,6"
9E,MEM -> DTW,62,-13.0,225.0,11.53,0.0323,"1,2,4,6,7"
9E,MEM -> MSP,53,-10.0,114.0,11.53,0.0,"1,3,4,6,7"
9E,MKE -> DTW,7,-15.0,124.0,11.29,0.0,"1,4,5"
9E,MKE -> JFK,113,-17.0,1102.0,14.68,0.0177,"2,3,4,5,6"
